left_spec_id,right_spec_id
www.ebay.com/48544,www.ebay.com/55206
www.ebay.com/48544,www.ebay.com/59760
www.ebay.com/48544,www.ebay.com/42887
www.ebay.com/48544,www.ebay.com/45868
www.ebay.com/48544,www.ebay.com/45735
www.ebay.com/48544,www.ebay.com/45844
www.ebay.com/48544,www.ebay.com/53138
www.ebay.com/48544,www.ebay.com/56228
www.ebay.com/48544,www.ebay.com/58856
www.ebay.com/48544,www.ebay.com/54783
www.ebay.com/48544,www.ebay.com/45329
www.ebay.com/48544,www.ebay.com/44634
www.ebay.com/48544,www.ebay.com/59066
www.ebay.com/48544,www.ebay.com/55197
www.ebay.com/48544,www.gosale.com/770
www.ebay.com/55206,www.ebay.com/59760
www.ebay.com/55206,www.ebay.com/42887
www.ebay.com/55206,www.ebay.com/45868
www.ebay.com/55206,www.ebay.com/45735
www.ebay.com/55206,www.ebay.com/45844
www.ebay.com/55206,www.ebay.com/53138
www.ebay.com/55206,www.ebay.com/56228
www.ebay.com/55206,www.ebay.com/58856
www.ebay.com/55206,www.ebay.com/54783
www.ebay.com/55206,www.ebay.com/45329
www.ebay.com/55206,www.ebay.com/44634
www.ebay.com/55206,www.ebay.com/59066
www.ebay.com/55206,www.ebay.com/55197
www.ebay.com/55206,www.gosale.com/770
www.ebay.com/59760,www.ebay.com/42887
www.ebay.com/59760,www.ebay.com/45868
www.ebay.com/59760,www.ebay.com/45735
www.ebay.com/59760,www.ebay.com/45844
www.ebay.com/59760,www.ebay.com/53138
www.ebay.com/59760,www.ebay.com/56228
www.ebay.com/59760,www.ebay.com/58856
www.ebay.com/59760,www.ebay.com/54783
www.ebay.com/59760,www.ebay.com/45329
www.ebay.com/59760,www.ebay.com/44634
www.ebay.com/59760,www.ebay.com/59066
www.ebay.com/59760,www.ebay.com/55197
www.ebay.com/59760,www.gosale.com/770
www.ebay.com/42887,www.ebay.com/45868
www.ebay.com/42887,www.ebay.com/45735
www.ebay.com/42887,www.ebay.com/45844
www.ebay.com/42887,www.ebay.com/53138
www.ebay.com/42887,www.ebay.com/56228
www.ebay.com/42887,www.ebay.com/58856
www.ebay.com/42887,www.ebay.com/54783
www.ebay.com/42887,www.ebay.com/45329
www.ebay.com/42887,www.ebay.com/44634
www.ebay.com/42887,www.ebay.com/59066
www.ebay.com/42887,www.ebay.com/55197
www.ebay.com/42887,www.gosale.com/770
www.ebay.com/45868,www.ebay.com/45735
www.ebay.com/45868,www.ebay.com/45844
www.ebay.com/45868,www.ebay.com/53138
www.ebay.com/45868,www.ebay.com/56228
www.ebay.com/45868,www.ebay.com/58856
www.ebay.com/45868,www.ebay.com/54783
www.ebay.com/45868,www.ebay.com/45329
www.ebay.com/45868,www.ebay.com/44634
www.ebay.com/45868,www.ebay.com/59066
www.ebay.com/45868,www.ebay.com/55197
www.ebay.com/45868,www.gosale.com/770
www.ebay.com/45735,www.ebay.com/45844
www.ebay.com/45735,www.ebay.com/53138
www.ebay.com/45735,www.ebay.com/56228
www.ebay.com/45735,www.ebay.com/58856
www.ebay.com/45735,www.ebay.com/54783
www.ebay.com/45735,www.ebay.com/45329
www.ebay.com/45735,www.ebay.com/44634
www.ebay.com/45735,www.ebay.com/59066
www.ebay.com/45735,www.ebay.com/55197
www.ebay.com/45735,www.gosale.com/770
www.ebay.com/45844,www.ebay.com/53138
www.ebay.com/45844,www.ebay.com/56228
www.ebay.com/45844,www.ebay.com/58856
